Total data points: 21

Index	Amplitude(V)	Width(us)
1	500		60
2	480		60
3	460		60
4	440		60
5	420		60
6	400		60
7	380		60
8	360		60
9	340		60
10	320		60
11	300		60
12	500		80
13	480		80
14	460		80
15	440		80
16      420             80
17      500             50
18      480             50
19      460             50
20      440             50
21      420             50
