Total data points: 15

Index	Amplitude(V)	Width(us)
1	500		50
2	480		50
3	460		50
4	440		50
5	420		50
6	400		50
7	380		50
8	360		50
9	340		50
10	320		50
11	500		60
12	480		60
13	460		60
14	440		60
15      420             60
